CRID,Gender,Race
1044310,M,White/Hispanic
1044312,M,Black
1044313,M,Black
1044314,M,White
1044315,F,Black
1044316,M,Black
1044318,M,White
1044319,F,Black
1044321,M,Black
1044322,M,Hispanic
1044327,M,White
1044331,F,White
1044333,M,White/Hispanic
1044335,F,Black
1044337,F,Black
1044339,M,Black
1044340,F,Black
1044341,M,Black
1044342,M,Black
1044343,F,Black
1044344,F,Black
1044345,M,Black
1044346,M,Black
1044348,M,Black
1044349,F,White/Hispanic
1044351,F,Black
1044352,F,White
1044355,M,Black
1044356,M,Black
1044358,M,Black
1044359,M,Black
1044360,M,White
1044362,M,White
1044363,M,Black
1044364,M,Black
1044367,M,Black
1044368,M,White
1044370,F,Black
1044371,M,Black
1044373,F,White
1044374,M,White/Hispanic
1044376,F,Black
1044377,F,Black
1044378,F,Black
1044380,F,Black
1044381,M,Black
1044382,M,White
1044383,F,Black
1044385,F,Hispanic
1044386,M,White
1044388,M,Black
1044389,M,Black
1044393,M,White
1044396,M,Black
1044400,M,Hispanic
1044401,F,White
1044403,M,White/Hispanic
1044404,F,White
1044407,F,White
1044410,F,Black
1044411,M,Black
1044413,M,White
1044415,M,White
1044419,M,Black
1044421,F,Black
1044424,M,White
1044425,M,Black
1044426,F,Black
1044427,F,Black
1044431,F,White
1044432,M,White
1044435,M,Black
1044437,M,White
1044442,M,White
1044442,M,Black
1044444,M,Black
1044448,M,White
1044449,M,Asian
1044450,M,Black
1044451,F,White
1044452,F,Black
1044454,F,Black
1044456,M,White
1044459,F,Black
1044460,M,White
1044463,F,White/Hispanic
1044464,F,Black
1044465,F,Hispanic
1044469,F,Black
1044471,F,Black
1044472,F,Black
1044473,M,Black
1044475,M,White
1044476,M,Black
1044477,M,Black
1044482,F,White
1044485,M,Black
1044488,F,White
1044490,M,Black
1044491,F,Black
1044492,F,Unknown
1044493,M,White
1044495,M,White/Hispanic
1044497,F,Black
1044498,F,Black
1044499,F,Black
1044501,M,Black
1044503,F,Black
1044504,M,Black
1044505,F,Black
1044509,F,Black
1044510,F,Black
1044511,M,Black
1044514,F,Unknown
1044515,M,Black
1044519,M,Black
1044521,M,Black
1044524,M,Black
1044525,F,Black
1044526,F,White/Hispanic
1044529,M,Black
1044530,F,Hispanic
1044532,F,White
1044533,F,Black
1044534,M,Black
1044535,F,Black
1044538,M,White
1044539,F,Black
1044541,F,Black
1044543,M,Black
1044544,F,Black
1044547,F,Black
1044549,M,Black
1044551,M,Black
1044559,M,Black
1044560,F,White/Hispanic
1044562,M,Hispanic
1044563,F,Black
1044564,F,Black
1044568,M,Black
1044569,M,Black
1044570,M,Black
1044571,M,Black
1044575,M,Black
1044576,F,White
1044578,F,White
1044579,M,Black
1044582,M,White/Hispanic
1044583,F,White
1044583,M,White
1044584,M,Black
1044586,F,Black
1044588,M,White
1044589,M,White
1044591,M,White/Hispanic
1044593,F,White
1044596,M,Black
1044599,M,White/Hispanic
1044600,M,Black
1044601,M,Black
1044603,F,Black
1044604,M,Black
1044605,F,Black
1044606,F,Black
1044607,M,White
1044609,F,Black
1044610,M,White
1044611,M,Black
1044613,F,White
1044614,M,Black
1044615,M,Black
1044616,F,Black
1044617,M,Black
1044618,M,White
1044619,F,Black
1044620,M,Black
1044621,M,Black
1044622,F,Black
1044624,F,Black
1044625,F,Black
1044626,F,White
1044627,F,Black
1044630,M,White/Hispanic
1044631,M,Black
1044632,F,White
1044633,F,White
1044634,F,Black
1044636,F,Black
1044637,M,White
1044638,F,Black
1044641,F,Black
1044648,M,Black
1044649,M,Black
1044650,M,Black
1044651,F,Hispanic
1044652,F,Black
1044654,M,White
1044655,F,Black
1044658,F,White
1044659,M,White/Hispanic
1044662,M,Black
1044663,F,Black
1044664,F,Black
1044667,F,Black
1044668,F,Black
1044670,M,Black
1044672,M,Black
1044673,F,Black
1044679,F,Black
1044680,F,Black
1044682,F,Black
1044684,F,White/Hispanic
1044686,F,Black
1044687,M,Black
1044690,F,Black
1044691,M,Asian
1044694,M,Black
1044695,F,Unknown
1044699,M,Black
1044700,F,White
1044701,F,Black
1044702,F,White
1044704,F,Hispanic
1044705,F,Hispanic
1044706,F,Black
1044709,M,Black
1044711,M,Black
1044712,F,Black
1044713,F,Black
1044714,M,Black
1044715,M,White
1044717,M,White
1044720,M,Black
1044722,F,Black
1044726,F,Black
1044727,M,White
1044728,M,Black
1044729,M,Black
1044731,F,Black
1044732,M,Black
1044733,M,Black
1044734,M,Unknown
1044736,F,White/Hispanic
1044737,M,Black
1044741,F,Black
1044744,F,White/Hispanic
1044744,M,White/Hispanic
1044746,F,White
1044747,F,Black
1044751,M,Black
1044752,F,White
1044756,F,Black
1044757,M,White
1044758,M,White
1044760,F,Black
1044761,F,Black
1044764,F,Black
1044766,F,Black
1044767,F,White/Hispanic
1044768,M,Asian
1044769,F,White
1044771,F,Black
1044772,M,White
1044773,F,Black
1044774,F,Black
1044775,F,Black
1044776,M,Black
1044777,M,White/Hispanic
1044778,F,Black
1044780,M,White
1044781,F,Unknown
1044782,F,White
1044784,F,Black
1044787,F,White
1044788,F,White
1044790,F,Black
1044791,M,White
1044793,M,White
1044795,M,Black
1044801,M,Black
1044802,F,Black
1044803,F,White/Hispanic
1044806,F,White/Hispanic
1044808,M,White/Hispanic
1044810,M,Black
1044811,F,Black
1044812,F,Black
1044813,M,Black
1044814,M,White
1044815,M,White
1044824,F,White
1044827,M,Black
1044830,M,Black
1044831,F,Black
1044835,M,Black
1044837,M,Black
1044838,M,Black
1044839,M,Black
1044843,M,White
1044846,M,Unknown
1044847,F,Black
1044851,F,White/Hispanic
1044852,M,White/Hispanic
1044853,F,Hispanic
1044855,M,White
1044859,F,White/Hispanic
1044860,F,Black
1044863,M,Black
1044864,F,Black
1044865,M,Black
1044866,F,Black
1044867,F,White
1044869,M,Black
1044872,M,Black
1044874,M,Black
1044875,M,Black
1044879,M,Black
1044882,M,Black
1044883,F,Black
1044884,F,Black
1044885,M,Black
1044886,M,Black
1044890,F,Black
1044891,M,Black
1044891,M,Black
1044892,M,White
1044894,M,White
1044895,F,White/Hispanic
1044896,M,Black
1044897,F,Black
1044898,M,Black
1044902,M,Black
1044904,F,White
1044905,M,White/Hispanic
1044906,M,White
1044914,M,Black
1044916,M,Black
1044917,F,Black
1044919,F,Unknown
1044921,M,Black
1044922,F,Black
1044923,M,Black
1044925,M,Black
1044926,F,Black
1044928,F,Black
1044936,M,Black
1044937,M,Black
1044939,M,Black
1044942,F,Black
1044943,M,White
1044945,F,White
1044946,M,White/Hispanic
1044947,F,Black
1044948,M,Black
1044949,F,Black
1044950,M,Black
1044951,M,White
1044953,F,White
1044955,M,Black
1044956,M,White
1044958,M,Asian
1044959,F,Black
1044960,M,Black
1044966,F,White/Hispanic
1044975,M,White
1044978,M,White
1044979,M,Black
1044981,M,Black
1044982,M,Black
1044985,F,White/Hispanic
1044986,M,White
1044987,M,White
1044990,M,Black
1044991,F,Black
1044992,M,White/Hispanic
1044994,M,Black
1044995,M,White
1044997,M,Black
1045000,F,White
1045002,F,White/Hispanic
1045003,M,Black
1045004,F,Black
1045006,M,White/Hispanic
1045007,M,Black
1045011,M,White
1045012,M,White
1045014,F,Black
1045015,M,Black
1045016,M,White
1045017,M,White
1045018,M,White
1045019,M,Black
1045022,M,White/Hispanic
1045023,M,White
1045024,F,White
1045028,M,Black
1045029,F,Black
1045031,F,Black
1045033,M,White
1045034,M,Black
1045038,F,Black
1045039,F,Black
1045046,F,Black
1045048,F,Black
1045049,M,Black
1045051,F,White/Hispanic
1045052,F,Black
1045053,F,Black
1045053,F,Black
1045055,M,Black
1045056,M,White
1045058,M,Black
1045060,M,Black
1045062,M,White/Hispanic
1045065,M,Black
1045068,F,Black
1045072,M,White/Hispanic
1045074,F,White
1045075,M,Asian
1045076,F,Black
1045079,X,Unknown
1045080,F,White/Hispanic
1045082,M,Black
1045083,F,Black
1045084,F,Black
1045085,M,Black
1045086,M,Black
1045087,M,Black
1045089,F,White
1045091,M,White
1045094,M,Black
1045095,F,Black
1045097,F,Black
1045099,F,White
1045102,F,Black
1045104,M,Black
1045105,F,Asian
1045106,M,White
1045108,M,Black
1045111,F,White
1045112,F,Hispanic
1045113,M,White
1045116,F,White
1045117,F,Black
1045120,M,White
1045121,M,Black
1045123,M,Black
1045126,F,Black
1045127,M,Black
1045128,F,Black
1045130,M,White
1045132,M,Black
1045135,M,White/Hispanic
1045139,F,Black
1045140,F,White
1045141,M,White
1045143,M,White
1045144,M,White
1045145,M,White
1045146,F,Black
1045147,F,Black
1045148,F,Black
1045150,F,White/Hispanic
1045154,M,Black
1045155,M,Black
1045161,F,Black
1045163,M,Black
1045166,F,Black
1045167,F,Black
1045169,M,White
1045171,F,White
1045173,M,White/Hispanic
1045175,M,Black
1045177,M,Black
1045178,F,Black
1045180,F,Black
1045181,M,Black
1045182,F,Black
1045183,M,Black
1045184,F,White
1045189,M,Black
1045192,F,White
1045202,F,Black
1045203,F,Black
1045204,M,Black
1045205,F,Black
1045206,F,Black
1045208,F,White
1045209,M,Black
1045213,M,Black
1045214,M,White
1045215,F,White
1045216,M,Black
1045217,M,White
1045218,M,Black
1045221,F,Black
1045224,F,White
1045228,F,Black
1045229,M,Black
1045231,M,White
1045232,M,White/Hispanic
1045233,M,Black/Hispanic
1045235,M,Black
1045236,F,White
1045237,M,Black
1045238,M,White
1045240,F,Black
1045242,M,Black
1045243,F,Black
1045247,M,Black
1045248,F,Black
1045249,F,White
1045250,F,Black
1045251,M,White/Hispanic
1045252,F,Black
1045253,F,Black
1045254,M,Black
1045256,F,Black
1045257,M,Black
1045260,M,White
1045262,F,Black
1045266,F,Black
1045268,M,White
1045269,M,Black
1045270,M,White
1045272,M,Asian
1045273,M,Black
1045274,M,Black
1045275,M,Black
1045276,M,Black
1045277,F,Black
1045278,M,Black
1045284,M,White
1045285,F,Black
1045286,F,Black
1045287,F,White
1045288,M,White
1045289,M,Black
1045290,M,Black
1045291,F,Black
1045292,M,White
1045293,F,White
1045295,M,White/Hispanic
1045296,M,Black
1045297,F,Black
1045298,F,Black
1045300,F,Black
1045304,F,White
1045305,M,Black
1045308,F,Black
1045309,F,Black
1045312,M,Black
1045313,F,White/Hispanic
1045315,M,Black
1045316,M,White
1045318,M,Black
1045320,M,Black
1045325,M,White
1045326,F,White
1045330,F,Unknown
1045331,F,Unknown
1045334,F,White
1045335,M,Black
1045336,M,Black
1045337,F,Black
1045344,M,Black
1045345,M,Black
1045346,M,White
1045347,M,Black
1045353,M,Black
1045354,M,Black
1045359,F,Black
1045361,M,Black
1045362,M,Black
1045363,F,Black
1045364,F,Black
1045366,M,Indigenous
1045368,M,Black
1045373,M,White
1045374,F,White
1045376,M,White
1045377,F,Black
1045378,M,Black
1045379,M,White
1045380,M,White/Hispanic
1045380,F,White
1045382,F,White
1045384,F,Black
1045386,F,Black
1045386,M,Hispanic
1045387,M,Black
1045389,F,Black
1045391,M,White
1045394,M,Black
1045397,M,Black
1045398,M,Black
1045399,M,Black
1045405,M,Black
1045406,F,White/Hispanic
1045408,M,White
1045410,M,White/Hispanic
1045411,M,Black
1045412,M,Black
1045413,M,White
1045416,M,Black
1045417,M,White/Hispanic
1045418,M,Black
1045419,F,Black
1045420,M,White
1045421,M,Hispanic
1045425,F,Black
1045426,F,Black
1045428,F,Black
1045430,F,Black
1045431,F,Black
1045432,F,White
1045437,M,Black
1045438,M,Black
1045439,M,White/Hispanic
1045440,M,White
1045444,F,White
1045446,M,Black
1045449,M,White
1045450,F,White
1045451,M,White
1045452,F,Hispanic
1045453,M,White
1045454,M,Hispanic
1045456,F,White/Hispanic
1045456,M,White/Hispanic
1045458,M,White
1045459,F,Black
1045460,M,Black
1045461,F,Black
1045463,F,Black
1045464,M,White
1045470,F,Black
1045472,M,White
1045474,F,Black
1045476,F,White/Hispanic
1045477,M,Black
1045478,M,Black
1045483,M,Black
1045485,X,Black
1045486,M,White/Hispanic
1045487,F,White
1045489,F,Black
1045490,M,Black
1045492,F,Black
1045493,F,Black
1045494,F,Black
1045498,F,Black
1045504,M,Black
1045505,F,Black
1045506,M,White
1045507,F,White/Hispanic
1045509,M,Black
1045512,M,Hispanic
1045513,F,Black
1045515,F,Black
1045516,M,White
1045517,M,Hispanic
1045518,F,Black
1045519,M,Black
1045520,M,White
1045524,F,Black
1045525,M,White
1045526,M,White
1045529,M,Black
1045531,M,Black
1045537,F,White
1045538,M,Black
1045539,M,Black
1045543,M,White
1045545,F,Black
1045547,M,Black
1045548,F,Black
1045549,F,Black
1045550,M,White
1045551,M,Black
1045552,F,Black
1045553,M,Black
1045556,M,Black
1045559,M,White
1045560,F,Black
1045562,M,White
1045564,M,Black
1045565,F,Black
1045567,M,White
1045570,F,White
1045571,F,Black
1045576,F,White
1045578,M,White
1045580,M,White
1045581,M,Black
1045583,F,Black
1045585,F,Unknown
1045586,F,White
1045587,F,White
1045588,M,White/Hispanic
1045589,F,Black
1045591,M,Black
1045596,F,White
1045598,F,Black
1045599,F,Black
1045601,F,Black
1045602,F,Unknown
1045603,M,White
1045605,F,White/Hispanic
1045606,M,Black
1045608,F,Black
1045609,F,Black
1045610,F,White
1045613,F,Black
1045614,M,Black
1045615,F,Black
1045616,F,White
1045617,F,Black
1045618,M,Black
1045620,M,Black
1045623,F,Black
1045625,F,Black
1045627,M,Black
1045628,M,Black
1045630,M,Black
1045631,M,Black
1045632,M,Black
1045636,F,Black
1045637,M,Black
1045638,F,Black
1045639,M,Black
1045640,M,White
1045641,F,Black
1045642,F,Black
1045643,M,Black
1045645,F,White
1045646,M,Black
1045647,M,White
1045652,F,Black
1045653,M,Black
1045654,M,White
1045655,M,White
1045657,M,Black
1045663,M,White/Hispanic
1045665,F,Black
1045666,M,White
1045667,F,Black
1045669,M,White
1045670,F,Black
1045674,M,White
1045676,M,Black
1045677,F,Black
1045678,M,Black
1045680,F,White/Hispanic
1045681,F,White/Hispanic
1045682,F,White/Hispanic
1045683,F,White
1045686,M,Black
1045687,M,White/Hispanic
1045688,F,Black
1045690,F,Black
1045691,M,Black
1045692,M,Black
1045693,M,Black
1045694,M,Black
1045699,M,Black
1045701,M,Hispanic
1045702,M,Unknown
1045704,M,Black
1045705,M,Black
1045707,M,Black
1045709,F,Black
1045710,F,White/Hispanic
1045711,M,White
1045712,M,White/Hispanic
1045713,F,White/Hispanic
1045714,M,Hispanic
1045715,M,Black
1045716,F,Black
1045718,M,White
1045719,F,Black
1045723,M,White
1045726,M,Black
1045728,F,Black
1045729,M,Black
1045730,F,Black
1045732,M,White/Hispanic
1045733,F,White
1045735,F,White
1045736,M,Black
1045737,M,Black
1045738,M,Black
1045739,F,Black
1045740,M,White
1045741,M,White
1045742,M,Black
1045745,F,Black
1045747,F,Black
1045748,F,Black
1045749,M,White
1045753,F,White/Hispanic
1045757,M,White
1045758,F,Black
1045760,F,Black
1045761,F,White
1045764,M,White
1045765,F,Black
1045767,M,White
1045770,M,Black
1045772,F,Black
1045774,M,Black
1045775,F,White/Hispanic
1045777,M,White/Hispanic
1045781,F,Black
1045783,M,Black
1045786,M,Black
1045788,M,Black
1045792,M,Unknown
1045794,F,Black
1045795,F,Black
1045796,M,White
1045800,F,Hispanic
1045802,M,White
1045805,M,Black
1045808,F,Black
1045809,M,Black
1045810,M,Black
1045811,M,White
1045812,F,Black
1045816,F,Black
1045819,M,White
1045821,F,Black
1045822,M,Black
1045825,M,White
1045827,M,White/Hispanic
1045828,F,Black
1045829,M,Black
1045833,M,White
1045834,M,White
1045836,F,Black
1045838,F,Black
1045842,M,Asian
1045843,F,Black
1045844,M,Black
1045845,F,Black
1045846,F,Unknown
1045847,F,White
1045849,M,Black
1045851,M,Black
1045852,F,Black
1045854,F,Black
1045855,F,Black
1045861,F,Black
1045866,F,Black
1045869,F,White
1045871,F,Black
1045874,M,Black
1045875,M,White
1045877,F,Black
1045879,F,Black
1045884,M,White/Hispanic
1045885,F,Black
1045886,M,Black
1045887,M,White
1045891,M,Black
1045893,F,White/Hispanic
1045894,M,White/Hispanic
1045895,M,Black
1045897,F,White
1045898,F,Black
1045899,M,Black
1045900,M,Black
1045902,F,Black
1045903,F,Black
1045904,M,White
1045905,F,Black
1045906,F,White
1045912,M,White
1045913,F,Black
1045914,M,Unknown
1045915,F,White
1045916,M,Black
1045917,F,Black
1045919,F,White
1045920,F,Hispanic
1045921,F,Hispanic
1045922,M,Black
1045923,F,White
1045927,M,Black
1045929,F,White/Hispanic
1045930,M,White/Hispanic
1045933,F,White/Hispanic
1045935,F,Black
1045937,F,Black
1045938,M,Black
1045941,F,White/Hispanic
1045942,M,Unknown
1045943,F,Black
1045945,M,Black
1045946,F,Black
1045950,M,White
1045952,M,White
1045953,M,White
1045954,M,Black
1045955,M,White/Hispanic
1045957,M,Black
1045959,F,White
1045960,M,Black
1045961,F,White
1045963,M,Black
1045964,M,Black
1045970,M,White/Hispanic
1045971,M,White
1045972,F,White/Hispanic
1045981,F,Black
1045982,M,Black
1045983,M,Black
1045984,M,White/Hispanic
1045985,M,Black
1045986,F,Black
1045988,F,Black
1045991,F,Black
1045993,F,Black
1045994,M,Black
1045997,F,Black
1045999,M,White/Hispanic
1046001,F,Asian
1046004,F,Black
1046005,F,Black
1046007,F,White/Hispanic
1046009,M,Black
1046010,F,Black
1046011,M,Unknown
1046012,M,White
1046013,M,Black
1046014,M,Black
1046015,F,Black
1046020,M,Black
1046023,M,Black
1046030,F,Black
1046032,M,Black
1046035,M,Black
1046037,M,Black/Hispanic
1046039,F,Black
1046040,M,White/Hispanic
1046042,F,Black
1046043,M,White/Hispanic
1046045,M,Unknown
1046046,M,Black
1046049,M,Black
1046050,M,Black
1046053,F,Hispanic
1046053,F,Black
1046054,M,Black
1046056,M,Black
1046058,M,Black
1046060,M,Black
1046063,M,Black
1046066,F,Black
1046071,F,Black
1046073,M,White/Hispanic
1046074,F,Hispanic
1046076,F,Asian
1046077,M,White
1046078,F,White/Hispanic
1046083,F,Black
1046085,F,White/Hispanic
1046088,F,White
1046089,F,Black
1046089,F,Black
1046092,M,White
1046092,F,White
1046093,F,White
1046095,M,Black
1046098,F,White
1046100,M,Black
1046105,F,Black
1046106,F,Black
1046107,F,Black
1046110,M,White
1046114,M,White
1046115,M,White/Hispanic
1046118,F,White/Hispanic
1046119,F,Black
1046120,F,White
1046120,F,White
1046121,F,Black
1046124,M,Black
1046126,M,Black
1046127,M,White
1046128,F,Black
1046130,F,White
1046133,M,Black
1046137,F,Black
1046138,F,Unknown
1046139,F,Black
1046140,X,Unknown
1046142,M,Black
1046144,M,Black
1046145,F,White
1046149,M,Black
1046150,F,Black
1046152,M,Black
1046153,M,Black
1046155,F,White
1046156,M,Black
1046157,M,Black
1046158,M,White
1046160,F,Black
1046166,M,Black
1046167,F,Black
1046171,F,White
1046172,F,Black
1046172,M,Black
1046173,F,Black
1046175,M,White
1046176,M,Black
1046177,M,Black
1046178,F,Black
1046180,M,Black
1046181,F,Black
1046183,F,Black
1046184,F,Black
1046185,F,White
1046189,F,White/Hispanic
1046194,M,Black
1046195,F,Black
1046196,F,Black
1046197,F,White
1046198,F,Black
1046201,F,Black
1046202,M,Black
1046204,M,White/Hispanic
1046205,M,Black
1046206,F,White
1046207,F,Black
1046208,M,White/Hispanic
1046213,F,White
1046215,M,White
1046221,M,Black
1046223,M,Black
1046228,F,Black
1046230,F,White
1046236,M,Black
1046239,F,Black
1046244,M,Black
1046246,F,White
1046249,F,White/Hispanic
1046254,F,Black
1046255,M,Black
1046256,M,Black
1046257,M,Black
1046259,F,Black
1046260,F,White/Hispanic
1046261,M,Black
1046262,F,White/Hispanic
1046267,F,Black
1046271,F,Black
1046271,F,Black
1046274,F,Black
1046277,F,Unknown
1046279,F,Black
1046280,M,White
1046285,M,White
1046288,F,White
1046291,F,Black
1046293,F,White
1046294,M,Black
1046295,F,Black
1046296,F,Black
1046297,F,Black
1046298,M,White
1046300,M,Black
1046301,M,Black
1046303,M,Black
1046305,M,White
1046307,M,Black
1046308,F,White/Hispanic
1046309,M,White
1046311,F,White
1046313,F,Black
1046314,M,White/Hispanic
1046315,F,White/Hispanic
1046316,F,Black
1046317,F,Black
1046320,M,White/Hispanic
1046322,F,Black
1046324,F,White/Hispanic
1046325,M,White
1046326,M,White
1046327,M,Black
1046328,M,Black
1046329,M,Black
1046335,M,Black
1046336,M,White/Hispanic
1046337,F,Black
1046339,F,Black
1046340,F,Black
1046341,F,Black
1046341,M,Black
1046342,F,Black
1046343,M,Hispanic
1046346,F,White
1046351,F,Black
1046354,M,Black
1046355,M,Black
1046356,F,Unknown
1046357,M,Black
1046358,F,White/Hispanic
1046360,M,Black
1046361,M,White
1046362,F,Black
1046363,X,Unknown
1046364,F,Black
1046368,F,Black
1046372,F,White
1046373,F,Black
1046374,F,Black
1046375,F,White
1046376,M,Black
1046376,F,Black
1046377,M,White
1046379,M,White
1046379,M,Black
1046380,M,White/Hispanic
1046381,M,White
1046383,M,Black
1046384,F,Black
1046385,F,Black
1046386,F,Unknown
1046388,F,Black
1046395,M,Black
1046397,F,Black
1046398,M,Black
1046400,F,White/Hispanic
1046401,F,Black
1046407,F,Black
1046408,M,Black
1046409,M,Black
1046410,F,Black
1046411,F,Black
1046412,M,Black
1046413,F,Black/Hispanic
1046414,F,White
1046416,M,White
1046420,F,Black
1046421,F,Black
1046428,M,Black
1046429,M,Black
1046430,M,Black
1046433,F,Black
1046434,F,Black
1046436,F,Black
1046437,F,Black
1046438,M,Black
1046439,F,Unknown
1046443,M,Black
1046444,M,White
1046446,M,Black
1046449,M,Asian
1046449,M,White
1046449,M,Black
1046451,M,White
1046455,F,White
1046456,F,Black
1046458,M,White/Hispanic
1046459,M,White
1046460,F,Black
1046464,M,White
1046467,F,Hispanic
1046469,F,White
1046471,M,Black
1046472,F,Black
1046474,F,Black
1046475,F,Black
1046477,F,Black
1046482,F,Black
1046484,M,Black
1046487,F,Black
1046489,F,White
1046490,F,Black
1046491,M,White
1046492,F,Black
1046495,M,White/Hispanic
1046497,F,Black
1046499,F,Unknown
1046504,F,Black
1046506,F,White
1046507,F,Black
1046507,M,Black
1046508,M,Black
1046509,M,Black
1046512,F,Black
1046514,F,White/Hispanic
1046515,F,Black
1046519,F,Black
1046521,F,Black
1046527,F,Black
1046528,F,Black
1046533,M,White
1046534,F,Black
1046536,F,Black
1046537,F,Black
1046538,M,White
1046539,M,White
1046543,F,White/Hispanic
1046544,M,White
1046545,F,Black
1046547,M,White/Hispanic
1046548,M,White
1046549,M,Black
1046550,F,White/Hispanic
1046551,F,Black
1046552,M,White
1046553,M,White
1046554,M,White
1046556,M,White
1046557,M,White/Hispanic
1046558,M,Black
1046562,M,Black
1046563,F,Black
1046566,F,White/Hispanic
1046567,F,White
1046569,M,White/Hispanic
1046570,M,White/Hispanic
1046571,M,White
1046574,M,Black
1046575,M,White
1046576,F,White/Hispanic
1046577,M,Black
1046578,F,Black
1046580,F,White
1046581,M,Asian
1046582,M,White/Hispanic
1046583,M,Black
1046585,F,Black
1046586,M,Black
1046587,F,White
1046588,F,Black
1046589,F,Black
1046591,F,Black
1046593,F,White
1046594,M,Black
1046598,M,Black
1046601,F,Black
1046602,M,White/Hispanic
1046604,M,Black
1046605,M,Black
1046606,M,Black
1046609,M,Black
1046611,F,Black
1046613,M,White
1046614,F,White
1046615,M,Black
1046617,F,Black
1046618,M,White
1046619,F,White
1046622,F,Black
1046624,F,White/Hispanic
1046628,M,Black
1046629,F,Black
1046630,M,Black
1046634,M,White/Hispanic
1046638,M,Black
1046639,M,Black
1046644,F,Black
1046651,M,White/Hispanic
1046653,F,Black
1046655,M,Black
1046658,F,Unknown
1046660,F,White/Hispanic
1046661,M,White/Hispanic
1046665,M,Black
1046666,M,Black
1046667,M,White
1046669,M,Black
1046670,M,Black
1046672,F,Black
1046673,F,Black
1046677,M,Black
1046680,F,White
1046684,X,Unknown
1046688,M,Black
1046689,F,Black
1046692,M,White/Hispanic
1046693,M,Black
1046694,F,Black
1046695,F,Black
1046696,F,Black
1046699,F,White
1046700,M,Black
1046701,M,Black
1046702,F,White
1046704,F,Black
1046705,F,White/Hispanic
1046706,M,White
1046707,M,Black
